Network Architecture,Connections
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - zero - zero - 
"The network has 4 convolutional layers with: (4, 5, max, 4) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - zero - zero - 
"The network has 4 convolutional layers with: (4, 7, avg, 4) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - zero - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - zero - zero - 
"The network has 5 convolutional layers with: (32, 4, off, 5) (4, 5, max, 4) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - zero - one - zero - one - zero - 
"The network has 4 convolutional layers with: (4, 2, max, 3) (16, 6, max, 2) (8, 6, max, 4) (16, 6, max, 2) and 1 fully-connected layers with: (8) neurons",zero - one - zero - 
