Network Architecture,Connections
"The network has 3 dense blocks with: (8, 3) (9, 3) (3, 5) and 4 fully-connected layers with: (4)(4)(4)(128) neurons",( [ zero - ][ zero - ][ one - zero - one - zero - zero - zero - ]
"The network has 3 dense blocks with: (10, 4) (10, 4) (10, 3) and 4 fully-connected layers with: (4)(32)(16)(128) neurons",( [ one - zero - one - ][ one - zero - one - ][ one - zero - one - ]
"The network has 3 dense blocks with: (3, 5) (8, 3) (11, 3) and 4 fully-connected layers with: (4)(16)(8)(4) neurons",( [ one - one - one - zero - one - zero - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (11, 3) (10, 4) (10, 3) and 3 fully-connected layers with: (32)(128)(4) neurons",( [ one - ][ one - zero - one - ][ one - zero - one - ]
"The network has 2 dense blocks with: (8, 3) (11, 3) and 4 fully-connected layers with: (4)(16)(8)(4) neurons",( [ zero - ][ one - ]
"The network has 3 dense blocks with: (11, 3) (10, 4) (11, 3) and 4 fully-connected layers with: (32)(4)(4)(4) neurons",( [ one - ][ one - zero - one - ][ one - ]
"The network has 3 dense blocks with: (6, 5) (8, 3) (11, 3) and 4 fully-connected layers with: (8)(16)(4)(128) neurons",( [ one - zero - zero - one - zero - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (6, 4) (9, 3) (3, 5) and 4 fully-connected layers with: (4)(4)(8)(4) neurons",( [ zero - ][ zero - ][ one - zero - one - zero - zero - zero - ]
"The network has 3 dense blocks with: (8, 3) (10, 4) (11, 3) and 5 fully-connected layers with: (4)(32)(4)(4)(128) neurons",( [ zero - ][ one - zero - one - ][ one - ]
"The network has 3 dense blocks with: (6, 4) (10, 4) (10, 3) and 4 fully-connected layers with: (4)(128)(8)(4) neurons",( [ zero - ][ one - zero - one - ][ one - zero - one - ]
"The network has 4 dense blocks with: (8, 3) (11, 3) (6, 3) (3, 5) and 4 fully-connected layers with: (4)(4)(8)(4) neurons",( [ zero - ][ one - ][ one - ][ one - zero - one - zero - zero - zero - ]
"The network has 2 dense blocks with: (8, 3) (11, 3) and 4 fully-connected layers with: (8)(16)(4)(128) neurons",( [ zero - ][ one - ]
"The network has 3 dense blocks with: (8, 3) (9, 3) (11, 3) and 5 fully-connected layers with: (4)(8)(4)(4)(128) neurons",( [ zero - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (8, 4) (8, 3) (3, 5) and 4 fully-connected layers with: (8)(16)(4)(128) neurons",( [ zero - zero - one - ][ zero - ][ one - zero - one - zero - zero - zero - ]
"The network has 2 dense blocks with: (8, 3) (11, 3) and 4 fully-connected layers with: (4)(16)(4)(128) neurons",( [ zero - ][ one - ]
"The network has 2 dense blocks with: (8, 3) (11, 3) and 4 fully-connected layers with: (8)(16)(8)(4) neurons",( [ zero - ][ one - ]
"The network has 4 dense blocks with: (11, 3) (4, 3) (3, 5) (9, 3) and 1 fully-connected layers with: (4) neurons",( [ one - ][ zero - ][ one - zero - one - zero - zero - zero - ][ zero - ]
"The network has 3 dense blocks with: (8, 4) (8, 3) (11, 3) and 4 fully-connected layers with: (8)(16)(4)(8) neurons",( [ one - zero - zero - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (10, 4) (10, 4) (10, 3) and 4 fully-connected layers with: (4)(128)(16)(4) neurons",( [ one - zero - one - ][ one - zero - one - ][ one - zero - one - ]
"The network has 3 dense blocks with: (4, 4) (8, 3) (11, 3) and 4 fully-connected layers with: (4)(16)(128)(128) neurons",( [ one - zero - one - ][ zero - ][ one - ]
